,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_NSD_0.5_ET,LesionWise_NSD_0.5_TC,LesionWise_NSD_0.5_WT,LesionWise_NSD_1.0_ET,LesionWise_NSD_1.0_TC,LesionWise_NSD_1.0_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-SSA-00125-000,0.4783260659392696,0.48796719760290175,0.93774094408842,0.38041245616205865,0.36926763288935605,0.6255042066535383,0.4940545258839671,0.48682975526665206,0.8513932631100892,187.5,187.5,19.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
BraTS-SSA-00126-000,0.8802391556341895,0.9629975027718196,0.9642401212242627,0.5654685982324102,0.45505554687776484,0.5374662282862139,0.9062541342642516,0.8372262254102893,0.8517235949194062,2.23606797749979,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00129-000,0.9067672323486277,0.9092809364548495,0.9146110056925996,0.5588028837223953,0.5738887796051259,0.5717017237675968,0.9397316085872257,0.9498679294798903,0.9421132440512672,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00130-000,0.9108022527857678,0.938407777042768,0.9587178510503761,0.6079950011698684,0.5069626085887985,0.526758640022465,0.9022645227164735,0.8129562391934098,0.8441168218638031,1.7320508075688772,3.0,3.605551275463989,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00132-000,0.9576394502829426,0.9771453617607464,0.9762101719508427,0.7770529518144501,0.7030934384131303,0.6660645949866995,0.9844015148605169,0.9434239318733435,0.9224567294438213,1.0,1.4142135623730951,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00134-000,1.0,1.0,0.9703832069055716,1.0,1.0,0.6185942422701609,1.0,1.0,0.8965425854674827,0.0,0.0,5.0990195135927845,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00136-000,0.9334364576787354,0.9536985479933182,0.9791191523934821,0.6136370726453951,0.5674795463255263,0.7383109835321006,0.9245906534993434,0.9293351591121168,0.9459944950467993,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00137-000,0.9832949037692343,0.9858336025102672,0.4945300524790251,0.8473272088381427,0.8630685845098721,0.4136180647540207,0.9962840577766309,0.999999995,0.4977372661244847,1.0,0.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-SSA-00138-000,0.962362256234421,0.8203189098562409,0.9815479457838956,0.7663665360463618,0.4578978072270255,0.7438474466197038,0.9766757826749611,0.6693732668057804,0.9657154329556621,1.0,14.696938456699069,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00139-000,0.9095328920303676,0.5893785416569101,0.9781975352546128,0.5991811038322841,0.3898666575248712,0.7574200594465922,0.8639879516289444,0.5484795155750297,0.9498238949712715,3.0,20.149441679609886,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00140-000,0.9332357182473655,0.9440695338444508,0.9374775020791182,0.5459032704653988,0.5170981129365109,0.43100643359450175,0.851470741024538,0.8261616222906962,0.7522038576751648,3.7416573867739413,4.242640687119285,5.0990195135927845,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00143-000,0.31590909568311626,0.3164904323673408,0.4844465438696141,0.21694042491935664,0.17088209418781006,0.325371891681427,0.32154007439262633,0.2989725922996628,0.46206921497516745,249.66666666666666,249.91068360252294,188.1180339887499,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0
BraTS-SSA-00148-000,0.9546630741048031,0.9685909387945971,0.9645936477979291,0.7701387349016748,0.6870411193146243,0.6206444474842082,0.9760019144928924,0.9395300094306174,0.9148211204634116,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00154-000,0.9304393175553183,0.9803363605037626,0.9585604740670742,0.6776659876796747,0.7261173382917683,0.5626564799076316,0.942759059785302,0.9591699306827918,0.8496000157194008,1.0,1.0,3.1622776601683795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00155-000,0.8613321059898744,0.9408853979006029,0.9789486726062422,0.5292472261227008,0.5681823174044435,0.729401072801498,0.8816283483010784,0.8781773372436767,0.9644142484339742,2.23606797749979,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00157-000,0.9317693668829362,0.8623900416580085,0.8531983296995677,0.5077401034964163,0.40456728854349633,0.29527258726356925,0.8579905097874233,0.7077552593263113,0.5686872461295366,5.385164807134504,7.810249675906654,12.083045973594572,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
